id,states
0,canillo
1,la massana
2,encamp
3,andorra la vella
4,ordino
5,sant julia de loria
6,escaldes engordany
7,sharjah
8,umm al quwain
9,ras al khaimah
10,dubai
11,fujairah
12,abu dhabi
13,ajman
14,parvan
15,kabol
16,takhar
17,kapisa
18,helmand
19,vardak
20,oruzgan
21,panjshir
22,sar e pol
23,zabol
24,lowgar
25,baghlan
26,daykondi
27,kandahar
28,farah
29,paktia
30,kondoz
31,faryab
32,bamian
33,nangarhar
34,jowzjan
35,badakhshan
36,ghazni
37,balkh
38,herat
39,badghis
40,konar
41,nimruz
42,ghowr
43,samangan
44,nurestan
45,paktika
46,khowst
47,laghman
48,saint mary
49,saint george
50,saint john
51,barbuda
52,saint peter
53,saint philip
54,saint paul
55,redonda
56,elbasan
57,vlore
58,korce
59,tirane
60,durres
61,berat
62,kukes
63,gjirokaster
64,shkoder
65,fier
66,lezhe
67,diber
68,ararat
69,geghark'unik'
70,yerevan
71,syunik'
72,aragatsotn
73,tavush
74,vayots' dzor
75,shirak
76,kotayk'
77,lorri
78,armavir
79,moxico
80,luanda
81,benguela
82,huambo
83,lunda sul
84,malanje
85,namibe
86,huila
87,bie
88,cunene
89,cuanza sul
90,zaire
91,cuanza norte
92,bengo
93,lunda norte
94,cuando cubango
95,uige
96,cabinda
97,misiones
98,chubut
99,rio negro
100,jujuy
101,formosa
102,san juan
103,santiago del estero
104,san luis
105,tierra del fuego
106,corrientes
107,neuquen
108,buenos aires
109,salta
110,chaco
111,mendoza
112,la rioja
113,la pampa
114,entre rios
115,cordoba
116,catamarca
117,santa fe
118,tucuman
119,distrito federal
120,santa cruz
121,tirol
122,burgenland
123,wien
124,karnten
125,vorarlberg
126,salzburg
127,oberosterreich
128,niederosterreich
129,steiermark
130,western australia
131,victoria
132,tasmania
133,northern territory
134,south australia
135,new south wales
136,queensland
137,australian capital territory
138,xankandi
139,bilasuvar
140,cabrayil
141,calilabad
142,zaqatala
143,goranboy
144,agdam
145,quba
146,xocali
147,agstafa
148,lankaran
149,samux
150,ganca
151,qusar
152,haciqabul
153,mingacevir
154,masalli
155,astara
156,agcabadi
157,yardimli
158,xocavand
159,samkir
160,naftalan
161,baki
162,abseron
163,lacin
164,qax
165,saki
166,qazax
167,qobustan
168,ismayilli
169,gadabay
170,fuzuli
171,oguz
172,samaxi
173,imisli
174,zangilan
175,barda
176,xanlar
177,goycay
178,kalbacar
179,qubadli
180,xizi
181,agdas
182,zardab
183,tartar
184,salyan
185,yevlax
186,lerik
187,beylaqan
188,neftcala
189,lankaran
190,daskasan
191,ali bayramli
192,balakan
193,saki
194,yevlax
195,agsu
196,davaci
197,sumqayit
198,naxcivan
199,sabirabad
200,qabala
201,xacmaz
202,tovuz
203,ucar
204,siyazan
205,susa
206,susa
207,kurdamir
208,saatli
209,federation of bosnia and herzegovina
210,republika srpska
211,brcko district
212,saint philip
213,saint lucy
214,saint michael
215,saint andrew
216,saint george
217,saint john
218,saint thomas
219,saint james
220,saint joseph
221,saint peter
222,christ church
223,dhaka
224,rangpur
225,barisal
226,chittagong
227,sylhet
228,rajshahi
229,khulna
230,luxembourg
231,west vlaanderen
232,hainaut
233,namur
234,oost vlaanderen
235,brabant wallon
236,wallonia
237,flanders
238,vlaams brabant
239,brussels hoofdstedelijk gewest
240,limburg
241,antwerpen
242,liege
243,noumbiel
244,sanmatenga
245,ziro
246,namentenga
247,tapoa
248,bazega
249,seno
250,kadiogo
251,yagha
252,nayala
253,kourweogo
254,loroum
255,zoundweogo
256,kouritenga
257,leraba
258,zondoma
259,mouhoun
260,boulgou
261,gnagna
262,kenedougou
263,soum
264,oubritenga
265,komoe
266,sanguie
267,sissili
268,banwa
269,passore
270,koulpelogo
271,ganzourgou
272,houet
273,yatenga
274,poni
275,bam
276,oudalan
277,boulkiemde
278,komondjari
279,kompienga
280,sourou
281,gourma
282,kossi
283,bale
284,ioba
285,tuy
286,bougouriba
287,naouri
288,sofiya
289,shumen
290,silistra
291,smolyan
292,lovech
293,montana
294,veliko turnovo
295,khaskovo
296,sliven
297,burgas
298,stara zagora
299,blagoevgrad
300,vratsa
301,plovdiv
302,kurdzhali
303,dobrich
304,kyustendil
305,varna
306,grad sofiya
307,razgrad
308,pernik
309,pazardzhik
310,mikhaylovgrad
311,gabrovo
312,pleven
313,vidin
314,ruse
315,yambol
316,turgovishte
317,al hadd
318,madinat
319,jidd hafs
320,al mintaqah ash shamaliyah
321,al mintaqah al gharbiyah
322,al asimah
323,ash shamaliyah
324,ar rifa
325,mintaqat juzur hawar
326,madinat hamad
327,al manamah
328,al mintaqah al wusta
329,sitrah
330,al wusta
331,al muharraq
332,al janubiyah
333,gitega
334,kirundo
335,ruyigi
336,bururi
337,rutana
338,makamba
339,mwaro
340,kayanza
341,muramvya
342,muyinga
343,bujumbura
344,cankuzo
345,karuzi
346,cibitoke
347,ngozi
348,bubanza
349,atlanyique
350,mono
351,borgou
352,donga
353,alibori
354,littoral
355,oueme
356,zou
357,plateau
358,kouffo
359,atakora
360,collines
361,hamilton
362,smiths
363,devonshire
364,southampton
365,saint george
366,hamilton
367,saint george's
368,warwick
369,pembroke
370,sandys
371,paget
372,collines
373,kouffo
374,littoral
375,plateau
376,zou
377,alibori
378,donga
379,tutong
380,belait
381,brunei and muara
382,temburong
383,oueme
384,potosi
385,tarija
386,la paz
387,cochabamba
388,santa cruz
389,chuquisaca
390,el beni
391,oruro
392,pando
393,pernambuco
394,tocantins
395,rio grande do norte
396,para
397,rio de janeiro
398,sergipe
399,bahia
400,mato grosso do sul
401,ceara
402,santa catarina
403,maranhao
404,rondonia
405,distrito federal
406,amapa
407,minas gerais
408,parana
409,alagoas
410,paraiba
411,piaui
412,acre
413,goias
414,espirito santo
415,roraima
416,mato grosso
417,sao paulo
418,amazonas
419,rio grande do sul
420,mayaguana
421,long island
422,governor's harbour
423,bimini
424,san salvador and rum cay
425,inagua
426,harbour island
427,high rock
428,rock sound
429,fresh creek
430,exuma
431,freeport
432,new providence
433,kemps bay
434,marsh harbour
435,ragged island
436,cat island
437,acklins and crooked islands
438,green turtle cay
439,sandy point
440,nichollstown and berry islands
441,geylegphug
442,daga
443,samchi
444,samdrup
445,tashigang
446,punakha
447,mongar
448,chirang
449,paro
450,tongsa
451,ha
452,wangdi phodrang
453,lhuntshi
454,thimphu
455,shemgang
456,pemagatsel
457,bumthang
458,chhukha
459,central
460,kgatleng
461,kgalagadi
462,southern
463,south east
464,ghanzi
465,north west
466,north east
467,kweneng
468,mahilyowskaya voblasts'
469,brestskaya voblasts'
470,minskaya voblasts'
471,minsk
472,vitsyebskaya voblasts'
473,homyel'skaya voblasts'
474,hrodzyenskaya voblasts'
475,belize
476,cayo
477,corozal
478,orange walk
479,toledo
480,stann creek
481,manitoba
482,new brunswick
483,british columbia
484,newfoundland
485,saskatchewan
486,prince edward island
487,alberta
488,northwest territories
489,nunavut
490,nova scotia
491,quebec
492,yukon territory
493,ontario
494,equateur
495,maniema
496,orientale
497,bas congo
498,sud kivu
499,katanga
500,nord kivu
501,bandundu
502,kinshasa
503,kasai oriental
504,ouaka
505,ombella mpoko
506,sangha mbaere
507,bamingui bangoran
508,haut mbomou
509,ouham pende
510,ouham
511,mambere kadei
512,bangui
513,haute kotto
514,basse kotto
515,mbomou
516,nana grebizi
517,lobaye
518,cuvette ouest
519,kemo
520,nana mambere
521,cuvette ouest
522,cuvette
523,pool
524,sangha
525,likouala
526,plateaux
527,kouilou
528,niari
529,bouenza
530,lekoumou
531,brazzaville
532,schaffhausen
533,vaud
534,geneve
535,ticino
536,uri
537,obwalden
538,jura
539,basel stadt
540,thurgau
541,aargau
542,ausser rhoden
543,fribourg
544,nidwalden
545,luzern
546,zug
547,neuchatel
548,basel landschaft
549,bern
550,sankt gallen
551,graubunden
552,valais
553,inner rhoden
554,glarus
555,schwyz
556,solothurn
557,zurich
558,haut sassandra
559,worodougou
560,denguele
561,savanes
562,moyen comoe
563,marahoue
564,fromager
565,zanzan
566,sud comoe
567,agneby
568,lacs
569,lagunes
570,dix huit montagnes
571,sud bandama
572,vallee du bandama
573,bas sassandra
574,n'zi comoe
575,bafing
576,moyen cavally
577,bio bio
578,los lagos
579,region metropolitana
580,libertador general bernardo o'higgins
581,araucania
582,los lagos
583,antofagasta
584,valparaiso
585,atacama
586,coquimbo
587,los rios
588,magallanes y de la antartica chilena
589,arica y parinacota
590,tarapaca
591,aisen del general carlos ibanez del campo
592,tarapaca
593,maule
594,littoral
595,nord
596,centre
597,est
598,sud ouest
599,extreme nord
600,sud
601,ouest
602,nord ouest
603,adamaoua
604,yunnan
605,qinghai
606,shanxi
607,jilin
608,hubei
609,guangxi
610,henan
611,xinjiang
612,zhejiang
613,tianjin
614,fujian
615,nei mongol
616,guizhou
617,ningxia
618,beijing
619,jiangsu
620,liaoning
621,sichuan
622,shandong
623,hebei
624,shanghai
625,xizang
626,shaanxi
627,heilongjiang
628,chongqing
629,hunan
630,gansu
631,jiangxi
632,anhui
633,hainan
634,guangdong
635,casanare
636,bolivar
637,cesar
638,caldas
639,putumayo
640,vaupes
641,huila
642,quindio
643,arauca
644,cordoba
645,antioquia
646,santander
647,boyaca
648,risaralda
649,valle del cauca
650,la guajira
651,sucre
652,san andres y providencia
653,cundinamarca
654,caqueta
655,magdalena
656,atlantico
657,meta
658,narino
659,distrito especial
660,tolima
661,cauca
662,amazonas
663,vichada
664,choco
665,guainia
666,guaviare
667,norte de santander
668,heredia
669,alajuela
670,limon
671,san jose
672,guanacaste
673,puntarenas
674,cartago
675,santiago de cuba
676,matanzas
677,isla de la juventud
678,holguin
679,sancti spiritus
680,las tunas
681,villa clara
682,camaguey
683,pinar del rio
684,guantanamo
685,ciudad de la habana
686,la habana
687,granma
688,cienfuegos
689,ciego de avila
690,maio
691,sao nicolau
692,santa cruz
693,sao vicente
694,santa catarina
695,boa vista
696,praia
697,mosteiros
698,paul
699,sao filipe
700,ribeira grande
701,brava
702,sal
703,tarrafal
704,sao domingos
705,sao miguel
706,nicosia
707,famagusta
708,paphos
709,limassol
710,kyrenia
711,larnaca
712,moravskoslezsky kraj
713,karlovarsky kraj
714,jihomoravsky kraj
715,hlavni mesto praha
716,pardubicky kraj
717,jihocesky kraj
718,stredocesky kraj
719,olomoucky kraj
720,kralovehradecky kraj
721,vysocina
722,zlinsky kraj
723,liberecky kraj
724,ustecky kraj
725,plzensky kraj
726,bremen
727,sachsen
728,nordrhein westfalen
729,brandenburg
730,niedersachsen
731,berlin
732,schleswig holstein
733,saarland
734,thuringen
735,hamburg
736,sachsen anhalt
737,rheinland pfalz
738,hessen
739,mecklenburg vorpommern
740,bayern
741,baden wurttemberg
742,tadjoura
743,dikhil
744,obock
745,djibouti
746,ali sabieh
747,arta
748,hovedstaden
749,midtjylland
750,syddanmark
751,sjelland
752,nordjylland
753,saint john
754,saint paul
755,saint patrick
756,saint joseph
757,saint andrew
758,saint mark
759,saint david
760,saint luke
761,saint peter
762,saint george
763,puerto plata
764,distrito nacional
765,santo domingo
766,san jose de ocoa
767,dajabon
768,santiago
769,sanchez ramirez
770,samana
771,el seibo
772,pedernales
773,elias pina
774,la vega
775,duarte
776,espaillat
777,san cristobal
778,monsenor nouel
779,hato mayor
780,baoruco
781,monte plata
782,distrito nacional
783,maria trinidad sanchez
784,independencia
785,peravia
786,barahona
787,la romana
788,san pedro de macoris
789,valverde
790,san juan
791,peravia
792,la altagracia
793,salcedo
794,monte cristi
795,azua
796,santiago rodriguez
797,tipaza
798,mascara
799,annaba
800,constantine
801,medea
802,relizane
803,ain temouchent
804,saida
805,skikda
806,naama
807,blida
808,mostaganem
809,m'sila
810,souk ahras
811,oum el bouaghi
812,tissemsilt
813,jijel
814,djelfa
815,ghardaia
816,ain defla
817,ouargla
818,bouira
819,tiaret
820,bordj bou arreridj
821,illizi
822,oran
823,setif
824,biskra
825,tizi ouzou
826,batna
827,bechar
828,alger
829,tlemcen
830,tindouf
831,mila
832,sidi bel abbes
833,el oued
834,adrar
835,bejaia
836,el bayadh
837,guelma
838,khenchela
839,laghouat
840,chlef
841,el tarf
842,boumerdes
843,tamanghasset
844,tebessa
845,pastaza
846,napo
847,los rios
848,tungurahua
849,orellana
850,esmeraldas
851,sucumbios
852,el oro
853,carchi
854,imbabura
855,pichincha
856,galapagos
857,zamora chinchipe
858,canar
859,cotopaxi
860,chimborazo
861,manabi
862,morona santiago
863,guayas
864,bolivar
865,loja
866,azuay
867,jogevamaa
868,harjumaa
869,tartumaa
870,parnu
871,kohtla jarve
872,valgamaa
873,parnumaa
874,jarvamaa
875,saaremaa
876,laanemaa
877,laane virumaa
878,vorumaa
879,viljandimaa
880,tartu
881,hiiumaa
882,sillamae
883,narva
884,raplamaa
885,ida virumaa
886,polvamaa
887,tallinn
888,asyut
889,al minya
890,suhaj
891,al wadi al jadid
892,matruh
893,ash sharqiyah
894,al bahr al ahmar
895,al minufiyah
896,al fayyum
897,al gharbiyah
898,al buhayrah
899,aswan
900,shamal sina'
901,janub sina'
902,bur sa'id
903,kafr ash shaykh
904,al iskandariyah
905,qina
906,al qalyubiyah
907,al jizah
908,dumyat
909,al isma'iliyah
910,al qahirah
911,bani suwayf
912,ad daqahliyah
913,as suways
914,al uqsur
915,anseba
916,debub
917,gash barka
918,debubawi k'eyih bahri
919,ma'akel
920,semenawi k'eyih bahri
921,galicia
922,pais vasco
923,canarias
924,extremadura
925,asturias
926,navarra
927,islas baleares
928,murcia
929,andalucia
930,madrid
931,catalonia
932,castilla la mancha
933,cantabria
934,comunidad valenciana
935,castilla y leon
936,aragon
937,la rioja
938,afar
939,yedebub biheroch bihereseboch na hizboch
940,sumale
941,amara
942,dire dawa
943,adis abeba
944,gambela hizboch
945,oromiya
946,tigray
947,hareri hizb
948,binshangul gumuz
949,aland
950,southern finland
951,eastern finland
952,western finland
953,oulu
954,lapland
955,eastern
956,western
957,central
958,rotuma
959,northern
960,pohnpei
961,kosrae
962,chuuk
963,yap
964,provence alpes cote d'azur
965,auvergne
966,pays de la loire
967,rhone alpes
968,limousin
969,aquitaine
970,nord pas de calais
971,basse normandie
972,bourgogne
973,midi pyrenees
974,haute normandie
975,franche comte
976,lorraine
977,corse
978,picardie
979,poitou charentes
980,centre
981,languedoc roussillon
982,alsace
983,bretagne
984,ile de france
985,champagne ardenne
986,nyanga
987,estuaire
988,woleu ntem
989,haut ogooue
990,ogooue maritime
991,ogooue lolo
992,ogooue ivindo
993,moyen ogooue
994,ngounie
995,portsmouth
996,st. helens
997,southampton
998,stirling
999,scottish borders, the
1000,rhondda cynon taff
1001,southwark
1002,cumbria
1003,hampshire
1004,haringey
1005,renfrewshire
1006,clackmannanshire
1007,down
1008,carrickfergus
1009,bath and north east somerset
1010,kingston upon hull, city of
1011,kensington and chelsea
1012,wirral
1013,oldham
1014,staffordshire
1015,windsor and maidenhead
1016,darlington
1017,hammersmith and fulham
1018,poole
1019,craigavon
1020,doncaster
1021,sunderland
1022,glasgow city
1023,edinburgh, city of
1024,merthyr tydfil
1025,ballymoney
1026,ballymena
1027,havering
1028,armagh
1029,west dunbartonshire
1030,surrey
1031,pembrokeshire
1032,newham
1033,cookstown
1034,peterborough
1035,hartlepool
1036,kirklees
1037,warrington
1038,merton
1039,aberdeenshire
1040,north east lincolnshire
1041,wakefield
1042,north yorkshire
1043,trafford
1044,york
1045,greenwich
1046,strabane
1047,herefordshire
1048,lambeth
1049,hertford
1050,newport
1051,gateshead
1052,hounslow
1053,coventry
1054,devon
1055,birmingham
1056,monmouthshire
1057,midlothian
1058,telford and wrekin
1059,east dunbartonshire
1060,belfast
1061,north lincolnshire
1062,norfolk
1063,south gloucestershire
1064,bedfordshire
1065,cardiff
1066,northumberland
1067,bridgend
1068,sefton
1069,stoke on trent
1070,highland
1071,bolton
1072,northamptonshire
1073,blackburn with darwen
1074,knowsley
1075,east riding of yorkshire
1076,harrow
1077,denbighshire
1078,bedfordshire
1079,wrexham
1080,ceredigion
1081,rotherham
1082,flintshire
1083,newcastle upon tyne
1084,derby
1085,limavady
1086,tower hamlets
1087,enfield
1088,kent
1089,bracknell forest
1090,liverpool
1091,south tyneside
1092,newry and mourne
1093,conwy
1094,plymouth
1095,fife
1096,bromley
1097,central bedfordshire
1098,oxfordshire
1099,ards
1100,falkirk
1101,east lothian
1102,shropshire
1103,south lanarkshire
1104,newtownabbey
1105,orkney
1106,warwickshire
1107,torfaen
1108,lisburn
1109,castlereagh
1110,north lanarkshire
1111,hillingdon
1112,wiltshire
1113,stockport
1114,west berkshire
1115,rochdale
1116,bradford
1117,north ayrshire
1118,perth and kinross
1119,moyle
1120,blackpool
1121,omagh
1122,swindon
1123,manchester
1124,dungannon
1125,north down
1126,dundee city
1127,southend on sea
1128,ealing
1129,croydon
1130,bristol, city of
1131,gloucestershire
1132,north tyneside
1133,barking and dagenham
1134,solihull
1135,lewisham
1136,leicestershire
1137,sheffield
1138,larne
1139,leicester
1140,dorset
1141,slough
1142,durham
1143,kingston upon thames
1144,gwynedd
1145,neath port talbot
1146,suffolk
1147,brighton and hove
1148,somerset
1149,dudley
1150,coleraine
1151,derry
1152,nottinghamshire
1153,nottingham
1154,brent
1155,cornwall
1156,barnsley
1157,west lothian
1158,sandwell
1159,dumfries and galloway
1160,london, city of
1161,moray
1162,powys
1163,carmarthenshire
1164,tameside
1165,stockton on tees
1166,caerphilly
1167,calderdale
1168,cheshire
1169,cheshire east
1170,wolverhampton
1171,waltham forest
1172,antrim
1173,lancashire
1174,essex
1175,milton keynes
1176,bexley
1177,shetland islands
1178,islington
1179,luton
1180,south ayrshire
1181,rutland
1182,bury
1183,argyll and bute
1184,sutton
1185,banbridge
1186,wandsworth
1187,isle of wight
1188,leeds
1189,barnet
1190,westminster
1191,isles of scilly
1192,redcar and cleveland
1193,magherafelt
1194,east ayrshire
1195,halton
1196,worcestershire
1197,eilean siar
1198,north somerset
1199,walsall
1200,middlesbrough
1201,wigan
1202,blaenau gwent
1203,swansea
1204,vale of glamorgan, the
1205,torbay
1206,lincolnshire
1207,richmond upon thames
1208,derbyshire
1209,camden
1210,cheshire west and chester
1211,redbridge
1212,buckinghamshire
1213,wokingham
1214,medway
1215,reading
1216,inverclyde
1217,aberdeen city
1218,east sussex
1219,bournemouth
1220,east renfrewshire
1221,hackney
1222,thurrock
1223,angus
1224,cambridgeshire
1225,isle of anglesey
1226,west sussex
1227,salford
1228,fermanagh
1229,saint andrew
1230,saint john
1231,saint george
1232,saint mark
1233,saint patrick
1234,saint david
1235,ninotsmindis raioni
1236,senakis raioni
1237,p'ot'i
1238,lanch'khut'is raioni
1239,martvilis raioni
1240,dedop'listsqaros raioni
1241,dmanisis raioni
1242,t'elavis raioni
1243,kaspis raioni
1244,vanis raioni
1245,k'ut'aisi
1246,bolnisis raioni
1247,rust'avi
1248,abashis raioni
1249,baghdat'is raioni
1250,mestiis raioni
1251,gori
1252,sach'kheris raioni
1253,goris raioni
1254,aspindzis raioni
1255,akhalgoris raioni
1256,t'erjolis raioni
1257,lagodekhis raioni
1258,zestap'onis raioni
1259,gardabanis raioni
1260,ajaria
1261,akhalts'ikhis raioni
1262,khobis raioni
1263,ch'khorotsqus raioni
1264,khashuris raioni
1265,akhmetis raioni
1266,ozurget'is raioni
1267,t'ianet'is raioni
1268,tsalenjikhis raioni
1269,lentekhis raioni
1270,t'et'ritsqaros raioni
1271,akhalk'alak'is raioni
1272,kharagaulis raioni
1273,tsqaltubo
1274,gurjaanis raioni
1275,abkhazia
1276,marneulis raioni
1277,onis raioni
1278,dushet'is raioni
1279,ts'ageris raioni
1280,t'bilisi
1281,k'arelis raioni
1282,sagarejos raioni
1283,khonis raioni
1284,ch'okhatauris raioni
1285,samtrediis raioni
1286,mts'khet'is raioni
1287,qazbegis raioni
1288,zugdidi
1289,qvarlis raioni
1290,zugdidis raioni
1291,chiat'ura
1292,borjomis raioni
1293,adigenis raioni
1294,javis raioni
1295,tsalkis raioni
1296,tqibuli
1297,ambrolauris raioni
1298,sighnaghis raioni
1299,upper east
1300,ashanti
1301,greater accra
1302,central
1303,northern
1304,volta
1305,upper west
1306,western
1307,brong ahafo
1308,eastern
1309,ostgronland
1310,vestgronland
1311,nordgronland
1312,western
1313,north bank
1314,banjul
1315,lower river
1316,upper river
1317,central river
1318,kissidougou
1319,siguiri
1320,dabola
1321,yomou
1322,nzerekore
1323,lola
1324,kindia
1325,koubia
1326,kerouane
1327,telimele
1328,koundara
1329,conakry
1330,fria
1331,kouroussa
1332,faranah
1333,kankan
1334,tougue
1335,mandiana
1336,boffa
1337,dubreka
1338,mamou
1339,gaoual
1340,labe
1341,pita
1342,boke
1343,forecariah
1344,lelouma
1345,coyah
1346,macenta
1347,beyla
1348,mali
1349,dinguiraye
1350,gueckedou
1351,dalaba
1352,wele nzas
1353,litoral
1354,bioko sur
1355,bioko norte
1356,annobon
1357,kie ntem
1358,centro sur
1359,aitolia kai akarnania
1360,trikala
1361,kastoria
1362,evritania
1363,dhodhekanisos
1364,fthiotis
1365,khios
1366,thesprotia
1367,fokis
1368,korinthia
1369,preveza
1370,zakinthos
1371,lakonia
1372,larisa
1373,kerkira
1374,kikladhes
1375,argolis
1376,khania
1377,evros
1378,pella
1379,xanthi
1380,ioannina
1381,samos
1382,drama
1383,rethimni
1384,voiotia
1385,magnisia
1386,kilkis
1387,rodhopi
1388,messinia
1389,ilia
1390,serrai
1391,imathia
1392,khalkidhiki
1393,thessaloniki
1394,kardhitsa
1395,levkas
1396,evvoia
1397,arta
1398,pieria
1399,iraklion
1400,kozani
1401,kefallinia
1402,grevena
1403,kavala
1404,florina
1405,attiki
1406,lesvos
1407,arkadhia
1408,akhaia
1409,lasithi
1410,izabal
1411,retalhuleu
1412,sacatepequez
1413,suchitepequez
1414,santa rosa
1415,quetzaltenango
1416,el progreso
1417,alta verapaz
1418,guatemala
1419,san marcos
1420,quiche
1421,jutiapa
1422,peten
1423,chimaltenango
1424,huehuetenango
1425,chiquimula
1426,zacapa
1427,baja verapaz
